"PIN","Admit.Year","AI1","AI2","Major","LH1","LH2","PPT1","PPT2","CSI","MST","QR","Science"
"N321112408279",2014,"GA","US","US",4.5,5,4.5,3.5,4.5,4,3,2.33333333333333
"N323112401279",2014,"PHIL","PPE","PSY",3,4,3,2,3.5,2.5,4,2
"N324112402279",2014,"PPE","LIT","ECON",3,3,4,4,4,4,3.5,2.83333333333333
"N325112425279",2014,"LS","ES","ES",4,4,3.5,2,3,3.5,3,2.5
"N326112424279",2014,"PPE","GA","GA",4.5,4.5,4,4.5,3.5,4.5,3.5,3
"N327112423279",2014,"ANTH","LIT","LIT",3.5,4,3,4,2.5,4,4.5,2.66666666666667
"N329112418279",2014,"HIST","ARTS HUM","PHIL",4.5,5,4,5,3.5,4.5,4,3
"N331112405279",2014,"ANTH","HIST","PSY",3.5,4,4,4.5,3.5,4,3.5,3
"N332112401279",2014,"ES","US","ES",3.5,4.5,4,4,5,4.5,4.5,3
"N333112402279",2014,"ANTH","GA","ANTH",4,5,3,3.5,3.5,3,2,2.66666666666667
"N336112423279",2014,"GA",NA,"ARTS HUM",4,5,3,3.5,3.5,3.5,3,2.16666666666667
"N337112421279",2014,"ECON","PSY","ECON",4,4,3.5,3.5,4.5,4,4.5,2.83333333333333
"N338112418279",2014,"ANTH",NA,"ANTH",3.5,4,4,4.5,2.5,4.5,3.5,2.33333333333333
"N339112414279",2014,"PPE","GA","ES",4.5,5,5,3.5,4.5,5,4.5,2.83333333333333
"N340112405279",2014,"ARTS HUM","ANTH","US",4,4,4.5,3.5,4.5,3,3,2.33333333333333
"N342112402279",2014,"ECON",NA,"PPE",3,4,3.5,4.5,4.5,4,4,3.125
"N343112425279",2014,"PS",NA,"GA",3.5,4,3.5,4,4,4.5,4,2.875
"N344112424279",2014,"PPE","GA","PPE",4,4.5,3.5,4.5,3,4,3.5,2.5
"N346112421279",2014,"LIT","PHIL","PSY",4,3.5,4,3.5,3.5,4,4,2.625
"N347112418279",2014,"PSY","PHIL","PSY",3,4,3.5,3,4,3.5,2.5,2.5
"N349112413279",2014,"PPE",NA,"US",4.5,5,4.5,4.5,5,4,4,2.83333333333333
"N350112401279",2014,"ECON",NA,"ES",4.5,4.5,5.5,4.5,5,4.5,5,3.16666666666667
"N351112402279",2014,"ECON","GA","GA",2.5,3.5,3.5,3,4,4,3.5,2.83333333333333
"N353112424279",2014,"ANTH","ARTS HUM","ARTS HUM",3.5,4,3,3,2,3,2,1.66666666666667
"N354112423279",2014,"ECON","PHIL","ECON",4,3.5,4,4,4,4.5,5.5,2.83333333333333
"N355112421279",2014,"GA","PSY","ANTH",3.5,3.5,3.5,3.5,3.5,3.5,3,2.16666666666667
"N356112418279",2014,"GA","PPE","GA",3.5,4,4,4.5,3.5,3.5,4,2.83333333333333
"N391113401219",2014,"PPE","ARTS HUM","ES",3,3.5,3,3.5,3,4,3,1.66666666666667
"N392113402219",2014,"ARTS HUM","PPE","HIST",3.5,4,4.5,4.5,3.5,4.5,2.5,2.83333333333333
"N394113424219",2014,"GA","PPE","HIST",4,4.5,4.5,4.5,3.5,4.5,3,1.16666666666667
"N395113423219",2014,"ARTS HUM","LS","MCS",3,4,3,3.5,4.5,4,4,2.66666666666667
"N396113421219",2014,"LIT","ARTS HUM","PPE",5,5,4.5,4.5,5,5,4,2.83333333333333
"N365113414221",2014,"ECON",NA,"ARTS HUM",4,4,4,3.5,2.5,3,1.5,2.5
"N366113413221",2014,"ECON",NA,"LS",4.5,3,3.5,4.5,4,4,5,3.75
"N367113412221",2014,"MCS",NA,"MCS",3.5,3,3.5,2.5,4,2.5,4.5,2.5
"N368113410221",2014,"HIST",NA,"HIST",4,4,4.5,4.5,4,4,3.5,2.5
"N369113408221",2014,"PS",NA,"MCS",3,3.5,4,3.5,4.5,4,4.5,3
"N370113424221",2014,"ARTS HUM",NA,"LS",4,4.5,4.5,4.5,4,4,4,3.125
"N372113421221",2014,"PS",NA,"LS",3,4,4,4,3.5,4,3.5,2.75
"N374113414221",2014,"PSY",NA,"ECON",3,3.5,3,3,2.5,2.5,3.5,1.5
"N376113412221",2014,"ARTS HUM",NA,"HIST",4,4.5,3.5,4,3.5,3.5,3.5,2
"N377113410221",2014,"PPE",NA,"PPE",4.5,4.5,4.5,5.5,4,5,4,3
"N378113408221",2014,"US","PPE","GA",4.5,4,4.5,4.5,4,4.5,4,2.66666666666667
"N379113405221",2014,"GA","LIT","LIT",3.5,4,3.5,4.5,3,4.5,2.5,2
