"PIN","Admit.Year","AI1","AI2","Major","LH1","LH2","PPT1","PPT2","CSI","MST","QR","Science"
"N338114423248",2015,"GA","ECON","PPE",4,3.5,3.5,3,4,3.5,3,1.75
"N339114421248",2015,"ECON","PSY","US",3,4,2.5,3.5,3.5,4,5,2
"N341114408248",2015,"ANTH",NA,"MCS",4,4,3.5,4,3,4.5,5,2.25
"N342114405248",2015,"LIT","ARTS HUM","ARTS HUM",3.5,3.5,3.5,3,3,4.5,4,2
"N343114401248",2015,"MCS",NA,"MCS",4,4,4.5,3.5,4,4,3.5,2
"N344114402248",2015,"ECON","GA","ANTH",4,4,3,3,3.5,4,4.5,1.75
"N345114425248",2015,"PS",NA,"PS",3.5,4.5,3.5,3.5,4.5,3.5,3.5,2.25
"N347114423248",2015,"PS",NA,"PS",4,4,4,3.5,3.5,4,5,2
"N348114421248",2015,"ECON",NA,"MCS",4,4,3,3.5,4,4,4.5,2
"N349114418248",2015,"MCS",NA,"MCS",3.5,3.5,3.5,4.5,3.5,4,5,2
"N351114405248",2015,"ECON",NA,"PPE",3,3.5,2.5,3.5,4,3.5,3,1.5
"N353114402248",2015,"GA",NA,"PPE",4,4.5,3.5,4,3,3.5,5,1.75
"N354114425248",2015,"MCS",NA,"MCS",3,3.5,2,3,3.5,4,3.5,2.25
"N355114424248",2015,"MCS",NA,"ECON",3,3.5,3,3.5,3.5,4,4,1.75
"N357114421248",2015,"GA","ES","MCS",4,3,4,4,3.5,4,4.5,1.75
"N359114414248",2015,"PSY","HIST","PSY",4.5,4.5,4.5,4.5,4.5,4.5,4,2
"N360114405248",2015,"ECON",NA,"ECON",3.5,4,4,4,4.5,4.5,5,2
"N361114401248",2015,"ECON","GA","ECON",3,4,3,3.5,3,4,3.5,1.75
"N338114405261",2015,"PSY","LS","PSY",3.5,4,3.5,4.5,4,3.5,4,1.5
"N339114401261",2015,"GA","US","US",4.5,4.5,4,4.5,3.5,4,4.5,1.75
"N340114421261",2015,"LS","HIST","PPE",4.5,4,3,4.5,3,5,5,2
"N397114413265",2015,"GA",NA,"GA",4,3.5,4,4.5,4,4.5,4,2.25
"N398114412265",2015,"US",NA,"US",4,4.5,3.5,5,4.5,5,5,2
"N329114423266",2015,"LIT","ARTS HUM","LIT",3,5,3.5,4.5,5,4.5,5,2
"N377114424280",2015,"LIT","ARTS HUM","GA",3,3.5,3,4,2,4,3,2
"N356110408273",2016,"PS","ES","PS",3,3.5,5,4.5,5,4.5,4.5,4.5
"N338113408261",2016,"PSY","GA","PPE",4,3.5,4,3.5,4,4.5,3.5,3.75
"N351113418261",2016,"ANTH","MCS","MCS",4.5,4,5,4,4.5,5,5,4.5
"N363114412242",2016,"GA","LIT","PPE",3.5,3.5,4,4,4,4,4,4
"N337115408224",2016,"ECON","MCS","MCS",3.5,4.5,4,4.5,4.5,5,5,5
"N338115405224",2016,"PPE","GA","GA",4,4,4,4.5,4,4,3.5,4
"N339115401224",2016,"ARTS HUM","LS","PSY",3.5,3.5,4,3,4,4,4,3.75
"N340115421224",2016,"PPE",NA,"PPE",4.5,4,5,5,4.5,5,3.5,4
"N341115418224",2016,"PSY","LS","PSY",4,3.5,3,3,2.5,4,3.5,4.25
"N342115414224",2016,"PPE","ARTS HUM","ANTH",3.5,4,3.5,4,3.5,4,3.5,3.25
"N343115413224",2016,"LIT","PS","PPE",4,2.5,2.5,4,2.5,3.5,3.5,2.75
"N344115412224",2016,"PS","PPE","PSY",4.5,5,3.5,4,4,4.5,4,4.5
"N345115410224",2016,"LIT","PPE","GA",3.5,2,3,3.5,4,4,2,3.25
"N346115408224",2016,"GA","ANTH","US",3.5,3.5,3.5,3,2.5,4,3,3.75
"N347115405224",2016,"ARTS HUM","ES","PPE",3.5,2.5,2,4,2,3.5,3.5,2.5
"N348115401224",2016,"ECON","PS","ES",3.5,3.5,4.5,4.5,4.5,4,4,4
"N349115402224",2016,"ECON","LIT","PPE",4,4.5,5,4,4,4,3.5,3.75
"N350115418224",2016,"PPE","ECON","PPE",4.5,4.5,4,4,4,4.5,4,4.5
"N352115413224",2016,"GA","PSY","PSY",3.5,4,3.5,3.5,3.5,4,4,4
"N353115412224",2016,"PPE","ARTS HUM","MCS",4,5,3.5,4.5,4,4,4,4
"N354115410224",2016,"PPE","ECON","ES",4,2,3.5,3.5,3.5,4,3.5,4
"N355115408224",2016,"MCS","PHIL","MCS",4.5,3,4,3.5,4.5,4,5,3.75
"N356115405224",2016,"PS",NA,"LS",5,5,4.5,3.5,5,4.5,4.5,4.25
"N357115401224",2016,"LS","ECON","PSY",4,3,3.5,3.5,4.5,3.5,3.5,3.5
"N359115425224",2016,"PPE","ECON","PPE",5,4.5,4.5,4,4,4.5,4,4.5
"N360115414224",2016,"PPE","ECON","MCS",3.5,3.5,4,4,3.5,4,5,4.25
"N361115413224",2016,"ECON",NA,"MCS",4,4,4,4.5,4.5,4.5,3.5,3.25
"N362115412224",2016,"ANTH","PSY","PPE",4,4,3.5,5,4,4.5,4,4
"N364115408224",2016,"MCS","PPE","MCS",3.5,4,3,4,3.5,4,4.5,3.75
"N365115405224",2016,"ECON","GA","ECON",4,4,4,4.5,4.5,4.5,4,4.75
"N366115401224",2016,"ARTS HUM",NA,"ARTS HUM",3.5,4,4,3.5,2.5,4.5,4,3.75
"N367115402224",2016,"PPE","GA","LIT",4.5,5,3,4,4.5,4.5,4,4.25
"N368115425224",2016,"GA","ECON","PPE",4,4,4,4,4.5,4,4,4.25
"N369115424224",2016,"PS","ES","PS",3.5,3,3.5,4,3,4.5,4,4.25
"N370115413224",2016,"PS","MCS","ECON",5,3.5,5,4,4.5,4,4,4.75
"N372115410224",2016,"MCS","PSY","MCS",4.5,4,4,5,4.5,4,4.5,4.25
"N373115408224",2016,"PS","ARTS HUM","PS",4.5,3.5,4.5,3.5,5,4,4.5,4
"N375115401224",2016,"PS","GA","MCS",3,4,4,4.5,2.5,4.5,4,4
"N376115402224",2016,"ANTH","US","PPE",4.5,3.5,3.5,4,3,4.5,3.5,4.25
"N377115425224",2016,"PS","GA","MCS",3.5,3.5,3,4,3.5,4.5,4.5,3.25
"N378115424224",2016,"GA","PPE","GA",3.5,4,4,4.5,3.5,5,3.5,4.25
"N380115412224",2016,"PSY","ARTS HUM","ARTS HUM",4,4.5,3,4.5,2,4,3.5,3.5
"N381115410224",2016,"ECON","ARTS HUM","PPE",4,4.5,4,4.5,4.5,4,3.5,4.5
"N382115408224",2016,"HIST","PS","HIST",4,4.5,4.5,5,3.5,4,4,4.5
"N383115405224",2016,"GA","PPE","PSY",4,4,3.5,2,4,4,2,3.25
"N384115401224",2016,"GA",NA,"LIT",4.5,4.5,4.5,4.5,4.5,4,3.5,3.25
"N385115402224",2016,"ANTH","ARTS HUM","HIST",3.5,3,4,3,4.5,3.5,3,3
"N388115423224",2016,"LS","MCS","LS",4,4,4.5,4.5,4,5,4,4.5
"N389115421224",2016,"MCS","PS","MCS",4,4,4.5,4,3,4,5.5,4
"N391115408224",2016,"ECON","MCS","ECON",4,4,3.5,4,3,3.5,3.5,3.75
"N392115405224",2016,"ECON",NA,"US",4,3.5,2.5,3.5,4,3.5,3,3.75
"N393115401224",2016,"GA","ANTH","PHIL",4,4.5,4.5,4,3.5,4.5,3.5,4.25
"N394115402224",2016,"ES",NA,"ES",3,3,3,3.5,3.5,3.5,3,3
"N395115425224",2016,"MCS","PS","MCS",5,4.5,4,4.5,5,5,4.5,4.25
"N396115424224",2016,"LIT","ECON","PPE",3.5,4,2.5,3.5,4.5,4.5,3.5,2.75
"N397115423224",2016,"PSY","LS","PPE",4.5,4.5,4,4,3.5,5,4.5,4.5
"N399115418224",2016,"LS","PS","LS",4,3.5,4,4.5,5,3.5,3.5,4
"N300115425225",2016,"PPE","ARTS HUM","PPE",3.5,4,3.5,3,3.5,4,2.5,3
"N301115424225",2016,"MCS","ECON","ECON",4,3.5,3.5,3,4,3.5,4.5,4
"N302115423225",2016,"GA","PPE","PPE",4.5,4.5,4,4,3.5,4.5,4,3.75
"N303115421225",2016,"ECON","GA","ECON",4.5,4,4,4,5,4,4,5
"N304115418225",2016,"ECON","GA","ECON",4,3.5,4,4,3.5,3.5,3.5,4
"N308115410225",2016,"MCS","PPE","PPE",4,4,4.5,4.5,4.5,3.5,4,4
"N311115423225",2016,"PPE","GA","PPE",4,4,4,4,4,5,4,4.25
"N312115421225",2016,"PSY","LIT","ARTS HUM",3.5,3.5,3,3,4,4,2,3.5
"N313115418225",2016,"ES","PPE","ES",3.5,4,4,3.5,2.5,4.5,4,4
"N314115414225",2016,"PSY","US","PSY",5,4,5,4,5,5,4,5
"N315115413225",2016,"ECON",NA,"MCS",3.5,3.5,5,4,3.5,4,3.5,4.25
"N317115410225",2016,"ARTS HUM","LIT","LIT",4.5,4.5,4,4,4.5,5,4,4
"N319115405225",2016,"MCS","ECON","ECON",4,3,5,4.5,3.5,4,4,4.25
"N320115423225",2016,"LIT","ANTH","ANTH",4,3,3.5,3.5,3.5,5,2.5,3.25
"N324115413225",2016,"LS","ECON","LS",4.5,4.5,5,4.5,5,4.5,5,4.5
"N327115408225",2016,"PS","LS","LS",4,4,4,4,3.5,4,4,4
"N329115401225",2016,"PPE","PHIL","PPE",3.5,3.5,3,4.5,3,4.5,5,3.75
"N330115421225",2016,"PS","PS","MCS",4,4.5,3,4.5,4,3.5,3.5,4
"N332115414225",2016,"LIT","LS","PPE",5,4.5,5,5,4,4.5,5,4.5
"N334115412225",2016,"ARTS HUM","ARTS HUM","ANTH",4,4,2.5,3,3.5,4,3,3.25
"N335115410225",2016,"PPE","PHIL","PHIL",3.5,4.5,4,4.5,4,4,4,4.5
"N337115405225",2016,"GA","ANTH","ANTH",4,4,4,4,4,4.5,3,3.5
"N338115401225",2016,"HIST",NA,"ANTH",4.5,4.5,4.5,4,4,5.5,3.5,3.25
"N339115402225",2016,"LS","PS","ECON",3.5,3.5,3,4,3.5,5,3.5,3.5
"N340115418225",2016,"GA","US","GA",4.5,3.5,3.5,4,4.5,4,4,4
"N341115414225",2016,"PPE","PHIL","ECON",3,3.5,3.5,3.5,4,3,3.5,3.75
"N342115413225",2016,"GA","PPE","PPE",3,3.5,3,4,3,3.5,3,3.75
"N344115410225",2016,"ES","GA","GA",4.5,5,3.5,4.5,4.5,4,4.5,4.5
"N345115408225",2016,"PPE","GA","PPE",4,3.5,4,3.5,4.5,5,4,4
"N347115401225",2016,"PSY",NA,"PSY",4.5,4,3.5,4,4.5,4,4,4
"N349115425225",2016,"LS","PPE","PPE",3,3.5,3.5,4,3,4,3.5,3.75
"N350115414225",2016,"MCS","PPE","ECON",5,5,4,4.5,4.5,5,5,4.75
"N351115413225",2016,"MCS",NA,"ECON",3,2.5,3,3,3.5,2,2,3
"N352115412225",2016,"ECON","PS","ECON",4.5,3.5,4,4,4.5,4,3.5,4.25
"N353115410225",2016,"MCS","GA","MCS",4,3.5,4.5,3.5,4,4,3.5,4
"N354115408225",2016,"GA","PPE","PHIL",4,4.5,4.5,5,4.5,4,3.5,4
"N355115405225",2016,"ES","ECON","ECON",2,3.5,4,3.5,3.5,4,3.5,3.5
"N356115401225",2016,"PS","ANTH","MCS",4,4,4,4,4,4.5,4.5,4.25
"N309115413240",2016,"ANTH",NA,"ANTH",3.5,2.5,2,3,2,4.5,3,3.25
"N310115401240",2016,"LS","PS","LS",5,4.5,4.5,5,4.5,5,4.5,4.75
"N312115425240",2016,"ES","PS","ES",4,3.5,4.5,3.5,3,4,4.5,4.25
"N305115413244",2016,"GA",NA,"GA",4.5,4,4.5,4,4.5,4,3.5,3.75
"N333115408255",2016,"GA","ECON","ES",3,4.5,2.5,3.5,4.5,4.5,4,4.5
"N336115405262",2016,"PSY","LIT","PSY",4.5,3.5,5,4,5,4,4,4.25
"N337115401262",2016,"LIT","PHIL","PPE",4,4,4,4,3.5,4,4,4.5
"N339115425262",2016,"ECON","PPE","HIST",4.5,3.5,4.5,5,4,4.5,4,4.25
"N340115414262",2016,"LIT","ARTS HUM","LIT",5,5,5,5,5,4,3.5,4.5
"N341115413262",2016,"PPE","ARTS HUM","ARTS HUM",4.5,3.5,4,3.5,3.5,4,4,4.25
"N342115412262",2016,"MCS","PSY","US",4.5,4,3.5,4,4,4.5,5,4.75
"N344115408262",2016,"US",NA,"US",4.5,4.5,3.5,5,4,4.5,4,4.25
"N345115405262",2016,"US","ES","US",3,3.5,4,4,4.5,4.5,3,4
"N346115401262",2016,"PPE","GA","PPE",5,2.5,2.5,3,2,4,3,3.5
"N347115402262",2016,"PHIL","PPE","ANTH",3.5,3.5,4.5,3.5,3.5,3.5,3,4
"N350115413262",2016,"LIT","ANTH","LIT",5,5,4,4.5,5,5,4,4
"N352115410262",2016,"PPE","ARTS HUM","PHIL",3,3.5,4,4.5,2,4,3,4.25
"N353115408262",2016,"PSY","PS","ES",4.5,4,5,4,5,4,4.5,4.5
"N354115405262",2016,"PSY","PS","PSY",4,4,4,3.5,3.5,4,4.5,4.5
"N355115401262",2016,"LIT","ARTS HUM","ARTS HUM",4.5,4.5,3.5,4,3,5,4,4
"N356115402262",2016,"PPE","GA","MCS",4.5,4.5,5,4,5,5,4.5,4.25
"N358115424262",2016,"ECON","PHIL","PHIL",4.5,4,5,5,4.5,5,5,4.5
"N360115412262",2016,"ECON","GA","PHIL",3,3.5,3.5,4.5,2.5,4,3.5,3.25
"N361115410262",2016,"PSY","ANTH","PSY",4.5,5,3.5,4.5,4,4.5,3.5,3.75
"N362115408262",2016,"LIT",NA,"MCS",4,4,4.5,4.5,4,5,5,4.25
"N363115405262",2016,"PSY","ANTH","PSY",4,4.5,4,4.5,3.5,5,4,4
"N364115401262",2016,"ES","GA","ES",5,4.5,5,5,5,5,5,4.75
"N365115402262",2016,"ARTS HUM","ECON","US",3.5,4,3,3,3.5,4,3.5,3.75
"N366115425262",2016,"PHIL","LIT","ARTS HUM",3.5,4,4,4.5,4,3.5,2,3.75
"N367115424262",2016,"ARTS HUM","GA","LIT",3.5,2.5,3,3,2,3,2,3.75
"N368115423262",2016,"PSY","PPE","PHIL",3.5,4,4.5,5,4,4,3.5,3.75
"N369115421262",2016,"PPE","MCS","US",5,4,5,5,4.5,5,5,4.5
"N370115410262",2016,"PPE","LIT","MCS",4.5,3.5,3.5,4,4,4,4.5,4
"N371115408262",2016,"PPE",NA,"PPE",4,3.5,3.5,4,3.5,4.5,3.5,4.25
"N374115402262",2016,"US","LS","ARTS HUM",4,4,3.5,3,4.5,4.5,3.5,4.25
"N375115425262",2016,"PPE","ECON","MCS",4,4.5,4.5,4,5,4,4,3.75
"N376115424262",2016,"HIST","LIT","LIT",5,4.5,4.5,4,5,5,3.5,3.75
"N377115423262",2016,"PPE","GA","GA",4,3.5,4,3.5,4.5,4,3.5,4
"N378115421262",2016,"ECON","ARTS HUM","PPE",3.5,4,4,5,3,4,4,4.25
"N379115418262",2016,"GA","PPE","PHIL",4,3.5,3.5,4,3,5,3.5,3.75
"N381115405262",2016,"MCS","GA","MCS",3.5,3.5,4,3.5,3,4,4,3.5
"N383115402262",2016,"ECON","ES","ECON",4,4,3,4.5,3.5,4,5,4.25
"N384115425262",2016,"PPE","GA","PPE",4.5,3,3.5,4.5,3.5,4.5,4,2
"N385115424262",2016,"ECON","GA","MCS",3.5,3.5,4,3.5,4,4,4,4.25
"N386115423262",2016,"LIT","ARTS HUM","LIT",4.5,4.5,3.5,4.5,4,4,4,4.75
"N387115421262",2016,"LIT","GA","US",3.5,3,2,3,3.5,3,3,3
"N388115418262",2016,"PSY","ECON","PSY",4,5,5,5,4,5,4,4.75
"N389115414262",2016,"PS","PHIL","PS",4,4,3.5,4,5,4,5,4.5
"N390115405262",2016,"PPE","ECON","ECON",3.5,4,3,4,4.5,4,4,4
"N332115412272",2016,"PSY","GA","PSY",4,3,3.5,3,4,3,3,3.75
"N318115402282",2016,"GA","HIST","GA",3.5,4,4.5,3.5,4,4.5,3,4
"N319115424283",2016,"PPE",NA,"MCS",2.5,2,2,3,3,4,3.5,3.75
"N391116401207",2016,"ARTS HUM","LIT","ECON",3.5,4.5,4,4.5,3,4.5,3,3.5
"N393116425207",2016,"ARTS HUM","ANTH","ARTS HUM",5,5,5,4.5,5,4.5,4.5,4.75
"N394116424207",2016,"PSY","PPE","ANTH",4.5,3.5,3.5,4,4.5,3.5,3.5,4
"N395116423207",2016,"LIT","ARTS HUM","GA",3.5,4.5,3,3.5,3.5,4,2.5,3.25
"N397116418207",2016,"ECON","PPE","PPE",3.5,4.5,3.5,3.5,3,4,3,3.75
"N398116414207",2016,"HIST","PSY","HIST",4.5,4.5,5,4,5,4.5,3.5,4.75
"N399116413207",2016,"GA","ARTS HUM","LIT",4,3.5,4,4,4.5,4,2.5,4.25
"N301116421208",2016,"ECON","MCS","MCS",4.5,4,4.5,4,4.5,5,5,4.5
"N303116414208",2016,"ARTS HUM",NA,"ARTS HUM",4.5,4.5,3.5,4.5,2.5,3.5,2,4.25
"N304116413208",2016,"LIT","ES","ES",4,3,3,3.5,4.5,4.5,4,4.25
"N305116412208",2016,"GA","PPE","PPE",4,5,4,4.5,4,4,4,4.25
"N306116410208",2016,"LIT","PSY","GA",4.5,5,3.5,4,4.5,4,3.5,4.5
"N307116408208",2016,"GA","HIST","ANTH",4,4,4,4,3.5,4.5,3.5,4.25
"N309116401208",2016,"ES","PPE","ES",3,3.5,2,4,3,3.5,3,3.5
"N310116421208",2016,"ANTH","LIT","HIST",5,3.5,4.5,4.5,4.5,4.5,3.5,4.25
"N311116418208",2016,"PPE","GA","ANTH",4,4,3,3.5,3.5,4,3.5,3.5
"N312116414208",2016,"PPE","PSY","ARTS HUM",4,5,4,4,3.5,5,4.5,4
"N313116413208",2016,"ECON","PPE","MCS",3,5,4,3.5,3.5,4,5,4
"N324116421212",2016,"LS","ARTS HUM","LS",4,4,4,4,3,5,3.5,3.75
"N325116418212",2016,"GA","PPE","ES",3,4.5,3.5,4,3,4,3,3.25
"N336116408215",2016,"ECON","ANTH","PPE",4,4,4,4.5,3.5,4.5,3.5,4
"N337116405215",2016,"PS","MCS","MCS",4,4.5,5,4.5,4.5,4,4,4.25
"N339116402215",2016,"ARTS HUM","PS","MCS",4,3.5,3.5,3.5,2.5,4,3.5,4.25
"N340116418215",2016,"ARTS HUM","PSY","PSY",3.5,3.5,3.5,3,2,3,3,3.75
"N341116414215",2016,"PSY","ANTH","ANTH",4,3.5,5,4.5,4.5,4,4,4.75
"N342116413215",2016,"ES","US","ARTS HUM",4.5,4,4,3.5,4,4,3.5,4
"N343116412215",2016,"LIT","PSY","PSY",4,3.5,3,4,3.5,3.5,3,3.75
"N335116405217",2016,"ES","LS","ES",3.5,4,3.5,4,3.5,3,3.5,4
"N337116402217",2016,"PHIL","PSY","ANTH",4.5,4,4,4,3,4,3,4
"N300116408220",2016,"GA","HIST","PPE",2.5,4,2.5,4,3.5,4,2.5,3
"N330116424222",2016,"GA","PPE","PPE",3.5,3,4.5,3,4.5,4,3,3.75
"N377116425223",2016,"US","ANTH","ES",3,3,3.5,3,3.5,3.5,2,3.75
"N349111425274",2017,"PS","PPE","PS",5,4.5,3.5,4.5,4.5,4.5,5,4.5
"N343112414217",2017,"PPE","ARTS HUM","PHIL",4.5,5,4.5,5,4,4.5,4,4.5
"N373113405290",2017,"PPE","GA","MCS",4,2.5,3.5,3,3.5,4,4.5,4.25
"N378114401240",2017,"GA","ARTS HUM","PPE",4,4,5.5,5,4,5,3.5,3.5
"N350114423299",2017,"PS","PS","MCS",4,3.5,5,4,4,4,5.5,5
"N301115412200",2017,"US","PS","ES",4,3.5,3.5,3.5,4,4,5,4.5
"N335115424200",2017,"PSY","GA","US",5,5,4.5,4.5,4.5,5,5,4.75
"N333116413206",2017,"ECON","ES","ECON",4,4.5,3.5,4,3,4,3.5,4.5
"N338116402207",2017,"PSY","ARTS HUM","ANTH",4,5,5,5,4.5,4,5,4.5
"N317116424248",2017,"PSY","HIST","HIST",3.5,3,3,3,4,4,3.5,4.25
"N378116402288",2017,"HIST","PPE","ANTH",4,4.5,4,4,3.5,4,4,4.5
"N321116401295",2017,"ECON","ES","ECON",3.5,3.5,3,4,3.5,3.5,3.5,4
"N322116402295",2017,"ANTH","GA","ES",4.5,4.5,4,5,4,4,3.5,4
"N323116425295",2017,"PPE","ARTS HUM","PSY",4,4,4.5,4.5,4,4.5,4,4.5
"N324116424295",2017,"PSY","ARTS HUM","ANTH",4,4.5,3.5,3.5,3.5,5,2.5,3.75
"N325116423295",2017,"GA","HIST","HIST",4.5,4,4,3.5,5,4.5,4.5,4.75
"N328116414295",2017,"HIST","ES","PSY",4.5,4.5,4,3.5,4.5,3.5,4,4
"N329116413295",2017,"LS","LS","ANTH",3.5,3.5,3,3,3,4.5,3.5,3.75
"N398116402295",2017,"ARTS HUM","LIT","GA",3,4,3,4,4,4,2,4
"N399116425295",2017,"GA","PPE","US",3.5,4.5,4.5,4,4.5,4,4,4.5
"N301116405296",2017,"GA","PPE","GA",4.5,4,4.5,4,4,5,2.5,4.5
"N302116401296",2017,"GA","ARTS HUM","ES",4.5,4,3,4.5,3,4.5,3,4.5
"N304116425296",2017,"ARTS HUM",NA,"ARTS HUM",4,4,3.5,4.5,4.5,4,4.5,4.25
"N305116424296",2017,"ECON","GA","ECON",3.5,4,4.5,4,3.5,4.5,4,3.75
"N308116418296",2017,"PPE","GA","LIT",3,2.5,3,4.5,3,2.5,4,3
"N309116414296",2017,"GA","HIST","PPE",4.5,3.5,4,4.5,4.5,5,4,4.5
"N310116405296",2017,"ECON","MCS","MCS",3.5,4,4,4.5,3.5,4.5,4,5
"N311116401296",2017,"ANTH","ECON","ANTH",2.5,3.5,3.5,3,3.5,4,3.5,3.25
"N312116402296",2017,"PPE","ARTS HUM","PPE",4,4,3,3,3,3.5,3.5,4
"N313116425296",2017,"ECON","MCS","ECON",3,4,3.5,4,3.5,3.5,3.5,3.75
"N317116418296",2017,"ECON","MCS","GA",3,3.5,4,3,3.5,4,4,3.25
"N319116413296",2017,"PPE","GA","PPE",4.5,4.5,4,4,5,4.5,4,3.5
"N320116401296",2017,"ECON","ECON","MCS",3.5,4,4,4,4,3,5,4.5
"N321116402296",2017,"PS","PS","MCS",3,3,3,2.5,3,3.5,2,3.75
"N322116425296",2017,"ECON","ES","MCS",2.5,4,3.5,3.5,3.5,4.5,4,3.75
"N323116424296",2017,"PPE","ANTH","HIST",4,4,4,4,3.5,4.5,3,3.5
"N324116423296",2017,"ANTH",NA,"ANTH",4.5,5,4,5,4.5,5,4,4
"N325116421296",2017,"ECON","MCS","MCS",4,4,5,4.5,4.5,4,5,4.75
"N326116418296",2017,"PSY","ECON","PSY",4.5,4,4,3.5,3.5,4,3,3.75
"N327116414296",2017,"GA","PSY","US",4.5,2,4.5,4,3.5,5,3.5,4
"N328116413296",2017,"ANTH","ARTS HUM","PPE",4.5,5,3.5,4.5,3.5,4,2.5,3.75
"N329116412296",2017,"ANTH","ANTH","ARTS HUM",4.5,4,4,4.5,5,4,2.5,3.25
"N330116402296",2017,"MCS",NA,"MCS",4,4,4,3,3.5,3.5,4,4
"N331116425296",2017,"GA","PPE","GA",3,4,4.5,4,3.5,4,3.5,3.75
"N332116424296",2017,"ECON","PPE","HIST",4.5,4.5,4.5,4,4.5,4.5,4.5,4.5
"N333116423296",2017,"ANTH",NA,"US",4.5,4,3.5,4,3,4,3,4
"N334116421296",2017,"GA","ECON","US",3,3.5,2,4.5,3.5,3.5,2,2.75
"N335116418296",2017,"MCS","PPE","MCS",3,2.5,2.5,2.5,2.5,3.5,4,2.25
"N337116413296",2017,"ARTS HUM","HIST","US",4,4,4,4,4,4.5,4,4.25
"N338116412296",2017,"LIT","ARTS HUM","LIT",4,5,4.5,4,4,4,3.5,4
"N339116410296",2017,"PHIL","LIT","US",4.5,4.5,4,3.5,3.5,4.5,2.5,3
"N340116425296",2017,"MCS","PS","PS",3.5,3.5,3.5,4,3.5,4,4,3.5
"N337117410203",2017,"ECON","PSY","ECON",4,4,3,3,2.5,4.5,2.5,3.5
"N338117408203",2017,"ECON","MCS","ECON",3.5,3.5,3.5,4,3.5,4,4.5,3.75
"N339117405203",2017,"GA","LS","LS",4,4.5,4,4,5,4,4,4.75
"N340117423203",2017,"PPE","US","PPE",4,4,4.5,4,3.5,4.5,4.5,4
"N341117421203",2017,"ECON","LS","ECON",4,4,4.5,4,3.5,4,4,4.75
"N342117418203",2017,"PS","ECON","MCS",4,4,4,4.5,3,5,4,4.5
"N343117414203",2017,"ECON","PPE","ES",4,4,4.5,4,3.5,4,4,4.5
"N345117412203",2017,"MCS","PS","MCS",3.5,4,4,4,3.5,3.5,5,4.25
"N346117410203",2017,"GA","PPE","US",5,5,4.5,5,5,4.5,5,5
"N348117405203",2017,"LS","ES","LS",3,3.5,3,3.5,2.5,3.5,3.5,2.75
"N349117401203",2017,"LS","PSY","US",3,3,4.5,3.5,3,4,3.5,4
"N350117421203",2017,"PPE","PSY","PSY",4,4.5,4.5,4.5,3,4,4,4.25
"N351117418203",2017,"ES","US","PS",4.5,4,4,4,5,4,5,4.75
"N352117414203",2017,"PS","PSY","LS",2.5,4.5,3.5,3.5,3,4.5,2.5,3.5
"N353117413203",2017,"ECON","PPE","PPE",4,3,3,3.5,3,3.5,2.5,2.75
"N354117412203",2017,"PPE","ECON","PSY",3,4,3,3.5,3,3.5,4,3.75
"N355117410203",2017,"GA","PPE","LS",4,4.5,4.5,5,3.5,5,3.5,5.25
"N356117408203",2017,"PPE","PSY","MCS",4,3.5,3,3,4,4,3.5,4
"N357117405203",2017,"LS","LS","PS",3.5,4.5,3.5,3.5,3.5,4,3.5,4
"N358117401203",2017,"PPE","ECON","PSY",2,2,3.5,3.5,2,3,3.5,1
"N359117402203",2017,"ES","PS","MCS",3.5,4,4,5,4.5,4,5,4.5
"N360117418203",2017,"PPE","ECON","MCS",3.5,4.5,3,4,4,5,4,4.5
"N361117414203",2017,"PPE","MCS","PPE",3.5,4.5,4.5,4.5,4.5,4.5,5,4.5
"N362117413203",2017,"PPE","GA","GA",4,4.5,4,4,4.5,4,3,4.25
"N363117412203",2017,"ANTH","PHIL","US",2.5,2.5,3.5,2.5,3.5,3.5,3.5,3.5
"N364117410203",2017,"MCS","ECON","MCS",4.5,4,4.5,5,4.5,4.5,5.5,5
"N365117408203",2017,"ECON",NA,"ECON",3,4,3.5,3.5,4,4.5,4,4
"N368117402203",2017,"PPE","ARTS HUM","GA",4.5,4.5,4.5,4.5,4.5,4,4,4.5
"N369117425203",2017,"GA","PSY","PPE",3,4.5,4,4,4,5,4,4
"N370117414203",2017,"PSY","PPE","PPE",4.5,4,5,4.5,4.5,4,4,5
"N371117413203",2017,"PSY","ARTS HUM","LS",3,4,4.5,4,4.5,4.5,4,4.75
"N373117410203",2017,"MCS","PS","MCS",3,2,3,4,2,3.5,3.5,3.75
"N374117408203",2017,"PPE","ARTS HUM","GA",2,2,2,2.5,3,3.5,2,1
"N376117401203",2017,"LS","ES","LS",4,4.5,3.5,4.5,4,4,4,4.5
"N377117402203",2017,"PPE","ECON","PPE",4,4.5,4,4,4.5,4.5,4.5,4.75
"N378117425203",2017,"PPE","ECON","ECON",3,3.5,2.5,4,3,4,3,3
"N379117424203",2017,"PPE",NA,"PPE",5,4.5,4.5,4,4.5,4,4,4
"N380117413203",2017,"ES",NA,"ES",4,4,4,4.5,4,4,3.5,4
"N381117412203",2017,"ECON","GA","ECON",4,4,3,3,3.5,3.5,4,4
"N383117408203",2017,"MCS","PS","PPE",3,3.5,3,3.5,3,4.5,3,3.25
"N384117405203",2017,"PPE","LS","ECON",3.5,4.5,4.5,4,4,4,4,4.5
"N385117401203",2017,"ECON","PPE","ECON",4,4.5,4,4,3.5,4,4.5,4.25
